Issue Type,Summary,Description,Epic Name,Epic Link,Labels,Priority
Epic,"Authentication, Users, Roles, and Permissions","Build the identity and access foundation for FosterHub including invites, login, role templates, permission evaluation, and user-specific permission overrides.","Authentication, Users, Roles, and Permissions",,"mvp,auth,permissions",High
Epic,"Case Core and Child Records","Build the foundational child/case model, case assignments, participants, notes, and case visibility rules.","Case Core and Child Records",,"mvp,cases",High
Epic,"Intake Workflow","Build the intake record workflow including creation, detail management, assignment, status tracking, and conversion to case.","Intake Workflow",,"mvp,intake",High
Epic,"Worker Portal","Build the worker-facing dashboard, case list, schedule visibility, and operational workflow entry points.","Worker Portal",,"mvp,worker-portal",High
Epic,"Resource Parent Portal","Build the caregiver-facing portal including dashboard, child detail visibility, and key contacts/resources.","Resource Parent Portal",,"mvp,parent-portal",High
Epic,"Messaging and Communication","Build secure in-platform messaging with threads, inbox views, unread indicators, and case-linked context.","Messaging and Communication",,"mvp,messaging",High
Epic,"Requests and Approvals","Build the structured request workflow including submission, review, comments, attachments, and decisioning.","Requests and Approvals",,"mvp,requests",High
Epic,"Placement Workflow","Build the placement process including resource homes, placement search, placement requests, responses, and recorded placements.","Placement Workflow",,"mvp,placement",High
Epic,"Vendor Onboarding Basics","Build vendor invites, onboarding checklist, submissions, review queue, approval decisions, and parent-facing approved vendor visibility.","Vendor Onboarding Basics",,"mvp,vendors",Medium
Epic,"Documents and File Handling","Build reusable file upload, secure storage, document linking, and document visibility enforcement across the MVP.","Documents and File Handling",,"mvp,documents",Medium
Epic,"Dashboards and Reporting Basics","Build the first operational dashboard summaries and queue counts for admins and workers.","Dashboards and Reporting Basics",,"mvp,reporting",Medium
Epic,"Auditability and Safety","Build audit logging and consistent authorization error behavior for sensitive workflows.","Auditability and Safety",,"mvp,audit,permissions",High
Story,"Invite a new user into FosterHub","As an administrator, I want to invite a new user with a starting role, so that they can securely access the system. Acceptance criteria: admin can create invite with email and role; invite is tracked with status; invite link can be accepted once; expired or revoked invites fail safely.",,"Authentication, Users, Roles, and Permissions","mvp,auth,permissions",High
Story,"Log in and out securely","As a user, I want to log in and out securely, so that I can access FosterHub safely. Acceptance criteria: valid login works; invalid login returns safe error; logout invalidates active session; protected routes block unauthorized access.",,"Authentication, Users, Roles, and Permissions","mvp,auth",High
Story,"Manage role templates and permissions","As an administrator, I want reusable role templates with permission sets, so that I can manage access efficiently. Acceptance criteria: admin can create and edit role templates; role templates can be linked to permissions; templates can be assigned to users.",,"Authentication, Users, Roles, and Permissions","mvp,permissions",High
Story,"Apply per-user permission overrides","As an administrator, I want to override a user’s permissions individually, so that exceptions can be handled without new roles. Acceptance criteria: admin can add and remove overrides; effective permissions reflect role plus override; backend authorization respects effective permissions.",,"Authentication, Users, Roles, and Permissions","mvp,permissions",High
Story,"Create and manage child records","As an authorized internal user, I want to create and edit child records, so that children can be represented properly in the system. Acceptance criteria: required fields validate correctly; records persist successfully; visibility is permission-scoped.",,"Case Core and Child Records","mvp,cases",High
Story,"Create and manage case records","As an authorized internal user, I want to create and view case records linked to children, so that casework can be organized centrally. Acceptance criteria: case can be linked to child; case number is unique per organization; authorized users can view case detail.",,"Case Core and Child Records","mvp,cases",High
Story,"Assign workers and staff to cases","As a manager or administrator, I want to assign internal users to cases, so that accountability is clear. Acceptance criteria: worker/supervisor/placement roles can be assigned; active assignments are visible; assignment history is tracked.",,"Case Core and Child Records","mvp,cases",High
Story,"Add notes and timeline activity to cases","As a worker, I want to record notes and see case activity history, so that case information is documented over time. Acceptance criteria: notes can be added; timeline is chronological; internal-only notes are not visible externally.",,"Case Core and Child Records","mvp,cases",Medium
Story,"Create intake records","As a DHR/admin user, I want to create a new intake record, so that a child can enter the FosterHub workflow. Acceptance criteria: intake can be created with required fields; intake appears in intake queue; default status is correct.",,"Intake Workflow","mvp,intake",High
Story,"Manage intake details and status","As a DHR/admin user, I want to record and update intake details and progress, so that downstream workflows have the information they need. Acceptance criteria: intake detail persists; valid status transitions are enforced; changes are visible in intake detail.",,"Intake Workflow","mvp,intake",High
Story,"Assign worker and placement finder during intake","As a DHR/admin user, I want to assign a worker and placement finder during intake, so that accountability and placement work can begin quickly. Acceptance criteria: assignments can be saved from intake detail; assignees display correctly; activity is logged.",,"Intake Workflow","mvp,intake",High
Story,"Convert intake to active case","As a DHR/admin user, I want to convert an intake into an active case, so that intake work becomes operational casework. Acceptance criteria: conversion creates or links correct child/case records; intake status updates; duplicate conversion is prevented.",,"Intake Workflow","mvp,intake",High
Story,"View worker dashboard summary","As a worker, I want a dashboard showing my tasks, appointments, messages, and open items, so that I can prioritize my day. Acceptance criteria: dashboard shows assigned case count, unread messages, pending requests, and upcoming appointments.",,"Worker Portal","mvp,worker-portal",High
Story,"View assigned case list","As a worker, I want to see my assigned cases, so that I can quickly understand my workload. Acceptance criteria: worker sees assigned cases only unless expanded permissions exist; list supports filtering and links to case detail.",,"Worker Portal","mvp,worker-portal",High
Story,"View worker calendar","As a worker, I want to see my appointments in a calendar view, so that I can manage my schedule. Acceptance criteria: appointments display by date range; linked case/child context is visible; unauthorized appointments are not shown.",,"Worker Portal","mvp,worker-portal",Medium
Story,"Access parent portal dashboard","As a resource parent, I want a dashboard with my children, requests, messages, and appointments, so that I can quickly understand what needs attention. Acceptance criteria: dashboard is parent-specific; only linked children/cases are shown; internal-only features are hidden.",,"Resource Parent Portal","mvp,parent-portal",High
Story,"View child details for children in placement","As a resource parent, I want to see approved information about children in my care, so that I can support them effectively. Acceptance criteria: parent sees only children linked by active placement/case; restricted data remains hidden.",,"Resource Parent Portal","mvp,parent-portal",High
Story,"Access parent support resources and contacts","As a resource parent, I want quick access to worker contacts and emergency resources, so that help is easy to find. Acceptance criteria: resources page is accessible; key contacts and emergency resources are displayed.",,"Resource Parent Portal","mvp,parent-portal",Medium
Story,"Send and receive messages in threads","As a user, I want to exchange messages in secure threads, so that communication stays centralized in FosterHub. Acceptance criteria: messages are stored and ordered; only participants or authorized users can access a thread.",,"Messaging and Communication","mvp,messaging",High
Story,"View inbox and unread indicators","As a user, I want an inbox with unread indicators, so that I can quickly find new communication. Acceptance criteria: inbox shows thread list; unread count updates on new and read messages.",,"Messaging and Communication","mvp,messaging",High
Story,"See communication in case context","As a worker, I want messages to be visible in case context where appropriate, so that communication is easier to interpret. Acceptance criteria: case-linked threads can be viewed from case detail; context remains simpler in parent-facing portal.",,"Messaging and Communication","mvp,messaging",Medium
Story,"Create and submit requests","As a resource parent, I want to create and submit requests, so that I can ask for support or approvals in a structured way. Acceptance criteria: request can be saved as draft or submitted; submitted request gets a status and appears in review queue.",,"Requests and Approvals","mvp,requests",High
Story,"Review requests in queue","As a worker or DHR reviewer, I want to see incoming requests in a queue, so that I can manage them efficiently. Acceptance criteria: queue supports filtering; request detail shows summary, attachments, and comments; unauthorized users cannot view restricted requests.",,"Requests and Approvals","mvp,requests",High
Story,"Approve, deny, or request more information on requests","As an authorized reviewer, I want to make request decisions, so that request workflows can progress clearly. Acceptance criteria: decision is recorded; status updates correctly; submitter can see the outcome.",,"Requests and Approvals","mvp,requests",High
Story,"Attach comments and documents to requests","As a user, I want to attach comments and documents to requests, so that the workflow has enough context. Acceptance criteria: comments and documents can be attached; authorized users can view them; visibility rules are enforced.",,"Requests and Approvals","mvp,requests",Medium
Story,"Manage resource home records","As a DHR/admin user, I want to manage resource home records, so that placement options are organized in the system. Acceptance criteria: capacity and availability can be stored and updated; records support search and filtering.",,"Placement Workflow","mvp,placement",High
Story,"Create and manage placement searches","As a placement finder or worker, I want to start and manage placement searches, so that I can identify suitable homes. Acceptance criteria: placement search stores criteria and urgency; eligible homes can be retrieved using basic filters.",,"Placement Workflow","mvp,placement",High
Story,"Send placement requests and capture responses","As a placement finder, I want to send placement requests and capture responses, so that I can identify interested homes quickly. Acceptance criteria: placement request can be sent; recipients are recorded once each; parent responses are captured.",,"Placement Workflow","mvp,placement",High
Story,"Record placement outcomes","As a DHR/admin or placement user, I want to record the selected placement, so that the child is linked to the correct home in the system. Acceptance criteria: placement record is created; active placement updates visibility appropriately.",,"Placement Workflow","mvp,placement",High
Story,"Invite vendors and allow vendor login","As a DHR/admin user, I want to invite vendors to onboard, so that they can access the vendor portal. Acceptance criteria: vendor invite can be sent; vendor can activate account from invite; invalid or expired invites fail safely.",,"Vendor Onboarding Basics","mvp,vendors",Medium
Story,"Support vendor onboarding checklist and submissions","As a vendor, I want to see required onboarding items and submit them, so that DHR can review my application. Acceptance criteria: required items are visible; submissions are tracked; missing items remain visible.",,"Vendor Onboarding Basics","mvp,vendors",Medium
Story,"Review and decide on vendor applications","As a DHR reviewer, I want to review vendor submissions and approve or deny them, so that vendor status is managed clearly. Acceptance criteria: reviewer can inspect submission details; vendor decision is recorded; visibility can be set public/private.",,"Vendor Onboarding Basics","mvp,vendors",Medium
Story,"Show approved public vendors to resource parents","As a resource parent, I want to see approved public vendors, so that I can find approved services. Acceptance criteria: only public approved vendors are shown; private/internal vendors remain hidden.",,"Vendor Onboarding Basics","mvp,vendors",Medium
Story,"Upload documents securely","As an authorized user, I want to upload documents securely, so that records can be stored centrally. Acceptance criteria: supported files upload successfully; metadata is stored; invalid uploads fail safely.",,"Documents and File Handling","mvp,documents",Medium
Story,"Link documents to cases, requests, and vendor submissions","As the system, I want uploaded documents to be linked to relevant records with visibility controls, so that access stays organized and secure. Acceptance criteria: documents can be linked to supported entities; authorized users can access linked files; unauthorized users cannot.",,"Documents and File Handling","mvp,documents",Medium
Story,"View admin dashboard summary","As an admin/manager, I want a dashboard showing operational counts and alerts, so that I can monitor the system. Acceptance criteria: open intakes, placements, requests, and vendor review counts are displayed accurately.",,"Dashboards and Reporting Basics","mvp,reporting",Medium
Story,"View worker dashboard summary","As a worker, I want a dashboard summarizing my operational work, so that I can manage my day efficiently. Acceptance criteria: dashboard shows my cases, my messages, my appointments, and my open requests.",,"Dashboards and Reporting Basics","mvp,reporting",Medium
Story,"Log sensitive actions in audit trail","As the organization, I want sensitive actions logged, so that the system is accountable. Acceptance criteria: permission changes, request decisions, vendor decisions, and placement decisions create audit entries with actor, action, and timestamp.",,"Auditability and Safety","mvp,audit",High
Story,"Return clear authorization errors","As a user, I want clear feedback when I cannot access something, so that the system feels understandable rather than broken. Acceptance criteria: unauthorized actions return consistent safe errors; frontend shows user-friendly messaging without exposing sensitive details.",,"Auditability and Safety","mvp,audit,permissions",Medium
