Issue Type,Summary,Description,Epic Name,Epic Link,Labels,Sprint,Priority
Epic,"Authentication, Users, Roles, and Permissions","Build the identity and access foundation for FosterHub including invites, login, role templates, permission evaluation, and user-specific permission overrides.","Authentication, Users, Roles, and Permissions",,"mvp auth permissions",,High
Epic,"Case Core and Child Records","Build the foundational child/case model, case assignments, participants, notes, and case visibility rules.","Case Core and Child Records",,"mvp cases",,High
Epic,"Intake Workflow","Build the intake record workflow including creation, detail management, assignment, status tracking, and conversion to case.","Intake Workflow",,"mvp intake",,High
Epic,"Worker Portal","Build the worker-facing dashboard, case list, schedule visibility, and operational workflow entry points.","Worker Portal",,"mvp worker-portal",,High
Epic,"Resource Parent Portal","Build the caregiver-facing portal including dashboard, child detail visibility, and key contacts/resources.","Resource Parent Portal",,"mvp parent-portal",,High
Epic,"Messaging and Communication","Build secure in-platform messaging with threads, inbox views, unread indicators, and case-linked context.","Messaging and Communication",,"mvp messaging",,High
Epic,"Requests and Approvals","Build the structured request workflow including submission, review, comments, attachments, and decisioning.","Requests and Approvals",,"mvp requests",,High
Epic,"Placement Workflow","Build the placement process including resource homes, placement search, placement requests, responses, and recorded placements.","Placement Workflow",,"mvp placement",,High
Epic,"Vendor Onboarding Basics","Build vendor invites, onboarding checklist, submissions, review queue, approval decisions, and parent-facing approved vendor visibility.","Vendor Onboarding Basics",,"mvp vendors",,Medium
Epic,"Documents and File Handling","Build reusable file upload, secure storage, document linking, and document visibility enforcement across the MVP.","Documents and File Handling",,"mvp documents",,Medium
Epic,"Dashboards and Reporting Basics","Build the first operational dashboard summaries and queue counts for admins and workers.","Dashboards and Reporting Basics",,"mvp reporting",,Medium
Epic,"Auditability and Safety","Build audit logging and consistent authorization error behavior for sensitive workflows.","Auditability and Safety",,"mvp audit permissions",,High
Story,"Invite a new user into FosterHub","As an administrator, I want to invite a new user with a starting role, so that they can securely access the system.",,"Authentication, Users, Roles, and Permissions","mvp auth permissions","Sprint 1",High
Story,"Log in and out securely","As a user, I want to log in and out securely, so that I can access FosterHub safely.",,"Authentication, Users, Roles, and Permissions","mvp auth","Sprint 1",High
Story,"Manage role templates and permissions","As an administrator, I want reusable role templates with permission sets, so that I can manage access efficiently.",,"Authentication, Users, Roles, and Permissions","mvp permissions","Sprint 1",High
Story,"Apply per-user permission overrides","As an administrator, I want to override a user’s permissions individually, so that exceptions can be handled without new roles.",,"Authentication, Users, Roles, and Permissions","mvp permissions","Sprint 1",High
Story,"Create and manage child records","As an authorized internal user, I want to create and edit child records, so that children can be represented properly in the system.",,"Case Core and Child Records","mvp cases","Sprint 2",High
Story,"Create and manage case records","As an authorized internal user, I want to create and view case records linked to children, so that casework can be organized centrally.",,"Case Core and Child Records","mvp cases","Sprint 2",High
Story,"Assign workers and staff to cases","As a manager/admin, I want to assign internal users to cases, so that accountability is clear.",,"Case Core and Child Records","mvp cases","Sprint 2",High
Story,"Add notes and timeline activity to cases","As a worker, I want to record notes and see case activity history, so that case information is documented over time.",,"Case Core and Child Records","mvp cases","Sprint 2",Medium
Story,"Create intake records","As a DHR/admin user, I want to create a new intake record, so that a child can enter the FosterHub workflow.",,"Intake Workflow","mvp intake","Sprint 3",High
Story,"Manage intake details and status","As a DHR/admin user, I want to record and update intake details and intake progress, so that downstream workflows have the information they need.",,"Intake Workflow","mvp intake","Sprint 3",High
Story,"Assign worker and placement finder during intake","As a DHR/admin user, I want to assign a worker and placement finder during intake, so that accountability and placement work can begin quickly.",,"Intake Workflow","mvp intake","Sprint 3",High
Story,"Convert intake to active case","As a DHR/admin user, I want to convert an intake into an active case, so that intake work becomes operational casework.",,"Intake Workflow","mvp intake","Sprint 3",High
Story,"View worker dashboard summary","As a worker, I want a dashboard showing my tasks, appointments, messages, and open items, so that I can prioritize my day.",,"Worker Portal","mvp worker-portal","Sprint 5",High
Story,"View assigned case list","As a worker, I want to see my assigned cases, so that I can quickly understand my workload.",,"Worker Portal","mvp worker-portal","Sprint 2",High
Story,"View worker calendar","As a worker, I want to see my appointments in a calendar view, so that I can manage my schedule.",,"Worker Portal","mvp worker-portal","Sprint 5",Medium
Story,"Access parent portal dashboard","As a resource parent, I want a dashboard with my children, requests, messages, and appointments, so that I can quickly understand what needs attention.",,"Resource Parent Portal","mvp parent-portal","Sprint 4",High
Story,"View child details for children in placement","As a resource parent, I want to see approved information about children in my care, so that I can support them effectively.",,"Resource Parent Portal","mvp parent-portal","Sprint 4",High
Story,"Access parent support resources and contacts","As a resource parent, I want quick access to worker contacts and emergency resources, so that help is easy to find.",,"Resource Parent Portal","mvp parent-portal","Sprint 4",Medium
Story,"Send and receive messages in threads","As a user, I want to exchange messages in secure threads, so that communication stays centralized in FosterHub.",,"Messaging and Communication","mvp messaging","Sprint 5",High
Story,"View inbox and unread indicators","As a user, I want an inbox with unread indicators, so that I can quickly find new communication.",,"Messaging and Communication","mvp messaging","Sprint 5",High
Story,"See communication in case context","As a worker, I want messages to be visible in case context where appropriate, so that communication is easier to interpret.",,"Messaging and Communication","mvp messaging","Sprint 5",Medium
Story,"Create and submit requests","As a resource parent, I want to create and submit requests, so that I can ask for support or approvals in a structured way.",,"Requests and Approvals","mvp requests","Sprint 6",High
Story,"Review requests in queue","As a worker or DHR reviewer, I want to see incoming requests in a queue, so that I can manage them efficiently.",,"Requests and Approvals","mvp requests","Sprint 6",High
Story,"Approve, deny, or request more information on requests","As an authorized reviewer, I want to make request decisions, so that request workflows can progress clearly.",,"Requests and Approvals","mvp requests","Sprint 6",High
Story,"Attach comments and documents to requests","As a user, I want to attach comments and documents to requests, so that the workflow has enough context.",,"Requests and Approvals","mvp requests","Sprint 6",Medium
Story,"Manage resource home records","As a DHR/admin user, I want to manage resource home records, so that placement options are organized in the system.",,"Placement Workflow","mvp placement","Sprint 7",High
Story,"Create and manage placement searches","As a placement finder or worker, I want to start and manage placement searches, so that I can identify suitable homes.",,"Placement Workflow","mvp placement","Sprint 7",High
Story,"Send placement requests and capture responses","As a placement finder, I want to send placement requests and capture responses, so that I can identify interested homes quickly.",,"Placement Workflow","mvp placement","Sprint 7",High
Story,"Record placement outcomes","As a DHR/admin or placement user, I want to record the selected placement, so that the child is linked to the correct home in the system.",,"Placement Workflow","mvp placement","Sprint 7",High
Story,"Invite vendors and allow vendor login","As a DHR/admin user, I want to invite vendors to onboard, so that they can access the vendor portal.",,"Vendor Onboarding Basics","mvp vendors","Sprint 8",Medium
Story,"Support vendor onboarding checklist and submissions","As a vendor, I want to see required onboarding items and submit them, so that DHR can review my application.",,"Vendor Onboarding Basics","mvp vendors","Sprint 8",Medium
Story,"Review and decide on vendor applications","As a DHR reviewer, I want to review vendor submissions and approve or deny them, so that vendor status is managed clearly.",,"Vendor Onboarding Basics","mvp vendors","Sprint 8",Medium
Story,"Show approved public vendors to resource parents","As a resource parent, I want to see approved public vendors, so that I can find approved services.",,"Vendor Onboarding Basics","mvp vendors","Sprint 8",Medium
Story,"Upload documents securely","As an authorized user, I want to upload documents securely, so that records can be stored centrally.",,"Documents and File Handling","mvp documents","Sprint 8",Medium
Story,"Link documents to cases, requests, and vendor submissions","As the system, I want uploaded documents to be linked to relevant records with visibility controls, so that access stays organized and secure.",,"Documents and File Handling","mvp documents","Sprint 8",Medium
Story,"View admin dashboard summary","As an admin/manager, I want a dashboard showing operational counts and alerts, so that I can monitor the system.",,"Dashboards and Reporting Basics","mvp reporting","Sprint 9",Medium
Story,"View worker dashboard summary","As a worker, I want a dashboard summarizing my operational work, so that I can manage my day efficiently.",,"Dashboards and Reporting Basics","mvp reporting","Sprint 9",Medium
Story,"Log sensitive actions in audit trail","As the organization, I want sensitive actions logged, so that the system is accountable.",,"Auditability and Safety","mvp audit","Sprint 9",High
Story,"Return clear authorization errors","As a user, I want clear feedback when I cannot access something, so that the system feels understandable rather than broken.",,"Auditability and Safety","mvp audit permissions","Sprint 9",Medium
Task,"Backend: create invitation token flow","Build backend token generation, persistence, and validation for user invites.",,"Authentication, Users, Roles, and Permissions","backend auth","Sprint 1",High
Task,"Frontend: invite acceptance screen","Build frontend screen for users to accept invites and set credentials.",,"Authentication, Users, Roles, and Permissions","frontend auth","Sprint 1",Medium
Task,"Backend: auth endpoints","Implement login, logout, and session-related endpoints.",,"Authentication, Users, Roles, and Permissions","backend auth","Sprint 1",High
Task,"Frontend: login UI","Build login form and auth error handling.",,"Authentication, Users, Roles, and Permissions","frontend auth","Sprint 1",High
Task,"Backend: effective permission resolver","Implement service that resolves permissions from role templates plus overrides.",,"Authentication, Users, Roles, and Permissions","backend permissions","Sprint 1",High
Task,"Frontend: role template screen","Build admin UI to create and edit role templates.",,"Authentication, Users, Roles, and Permissions","frontend permissions","Sprint 1",Medium
Task,"Backend: children schema and CRUD","Implement children data model and API endpoints.",,"Case Core and Child Records","backend cases","Sprint 2",High
Task,"Backend: cases schema and CRUD","Implement case model and API endpoints.",,"Case Core and Child Records","backend cases","Sprint 2",High
Task,"Frontend: case list UI","Build internal case list UI with filtering and navigation.",,"Case Core and Child Records","frontend cases","Sprint 2",High
Task,"Frontend: case detail shell","Build initial case detail layout and summary view.",,"Case Core and Child Records","frontend cases","Sprint 2",Medium
Task,"Backend: case assignments endpoints","Implement assignment model and endpoints for worker/supervisor/placement roles.",,"Case Core and Child Records","backend cases","Sprint 2",High
Task,"Frontend: notes and timeline UI","Build notes entry and activity timeline display for cases.",,"Case Core and Child Records","frontend cases","Sprint 2",Medium
Task,"Backend: intake schema and CRUD","Implement intake records and endpoints.",,"Intake Workflow","backend intake","Sprint 3",High
Task,"Frontend: intake queue UI","Build intake queue list screen with filters.",,"Intake Workflow","frontend intake","Sprint 3",High
Task,"Frontend: intake detail screen","Build intake detail screen with status and assignment sections.",,"Intake Workflow","frontend intake","Sprint 3",High
Task,"Backend: intake conversion service","Implement safe intake-to-case conversion logic.",,"Intake Workflow","backend intake","Sprint 3",High
Task,"Frontend: parent portal shell","Build resource parent portal layout and route shell.",,"Resource Parent Portal","frontend parent-portal","Sprint 4",High
Task,"Backend: parent dashboard endpoint","Implement dashboard data endpoint scoped to resource parent visibility.",,"Resource Parent Portal","backend parent-portal","Sprint 4",High
Task,"Frontend: child detail page for parents","Build parent-facing child detail page with approved info only.",,"Resource Parent Portal","frontend parent-portal","Sprint 4",High
Task,"Frontend: resources page for parents","Build parent resources and key contacts page.",,"Resource Parent Portal","frontend parent-portal","Sprint 4",Medium
Task,"Backend: messaging schemas and endpoints","Implement threads, participants, and messages endpoints.",,"Messaging and Communication","backend messaging","Sprint 5",High
Task,"Frontend: inbox and thread UI","Build inbox list and message thread interface.",,"Messaging and Communication","frontend messaging","Sprint 5",High
Task,"Backend: unread count endpoint","Implement unread message count logic.",,"Messaging and Communication","backend messaging","Sprint 5",Medium
Task,"Backend: requests schema and endpoints","Implement requests, comments, and decisions endpoints.",,"Requests and Approvals","backend requests","Sprint 6",High
Task,"Frontend: request form UI","Build new request form with draft/submit actions.",,"Requests and Approvals","frontend requests","Sprint 6",High
Task,"Frontend: request review queue UI","Build reviewer queue and request detail views.",,"Requests and Approvals","frontend requests","Sprint 6",High
Task,"Backend: request decision actions","Implement approve, deny, and needs-more-info actions.",,"Requests and Approvals","backend requests","Sprint 6",High
Task,"Backend: resource home schema and endpoints","Implement resource home and preferences models/endpoints.",,"Placement Workflow","backend placement","Sprint 7",High
Task,"Frontend: placement search screen","Build placement search UI and criteria filtering.",,"Placement Workflow","frontend placement","Sprint 7",High
Task,"Backend: placement request and response endpoints","Implement placement request creation, sending, and response capture.",,"Placement Workflow","backend placement","Sprint 7",High
Task,"Frontend: parent placement response UI","Build parent-facing placement response interaction.",,"Placement Workflow","frontend placement","Sprint 7",Medium
Task,"Backend: vendor invite and application endpoints","Implement vendor onboarding invite flow and application endpoints.",,"Vendor Onboarding Basics","backend vendors","Sprint 8",Medium
Task,"Frontend: vendor onboarding checklist UI","Build vendor onboarding checklist and submission interface.",,"Vendor Onboarding Basics","frontend vendors","Sprint 8",Medium
Task,"Frontend: vendor review queue UI","Build DHR-facing vendor review queue and detail screen.",,"Vendor Onboarding Basics","frontend vendors","Sprint 8",Medium
Task,"Backend: object storage upload service","Implement secure upload integration with object storage.",,"Documents and File Handling","backend documents","Sprint 8",High
Task,"Frontend: reusable upload component","Build reusable file upload component for cases, requests, and vendor submissions.",,"Documents and File Handling","frontend documents","Sprint 8",Medium
Task,"Backend: dashboard summary queries","Implement admin and worker dashboard summary queries.",,"Dashboards and Reporting Basics","backend reporting","Sprint 9",Medium
Task,"Frontend: admin and worker dashboard cards","Build dashboard summary card components.",,"Dashboards and Reporting Basics","frontend reporting","Sprint 9",Medium
Task,"Backend: audit log service","Implement audit logging service for sensitive actions.",,"Auditability and Safety","backend audit","Sprint 9",High
Task,"Frontend: authorization error handling","Implement user-friendly forbidden/unauthorized error states.",,"Auditability and Safety","frontend audit","Sprint 9",Medium
